"ID_ACCOUNT","ACCOUNT_NAME","ID_SOURCE","CREATED","CREATED_BY"
"41001000","Revenue Foreign - Product","S4FINANCE","2022-08-30 09:39:04.157000000",""
"19410000","Accumulated amortization - Internal Development","S4FINANCE","2022-08-30 09:39:04.157000000",""
"41007000","Revenue Expenses","S4FINANCE","2022-08-30 09:39:04.157000000",""
"41090000","Other Operating Revenue","S4FINANCE","2022-08-30 09:39:04.157000000",""
"50301000","COGS Direct Material","S4FINANCE","2022-08-30 09:39:04.157000000",""
"44001000","Sales Rebates","S4FINANCE","2022-08-30 09:39:04.157000000",""
"50302000","COGS Third Party","S4FINANCE","2022-08-30 09:39:04.157000000",""
"50303000","COGS Material Overhead","S4FINANCE","2022-08-30 09:39:04.157000000",""
"50305000","COGS Machine Time","S4FINANCE","2022-08-30 09:39:04.157000000",""
"50306000","COGS Setup Time","S4FINANCE","2022-08-30 09:39:04.157000000",""
"50308000","COGS Credits (Co/By-Pr)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"51100000","Consumption - Raw Material","S4FINANCE","2022-08-30 09:39:04.157000000",""
"51700000","Consumption - Repair Material","S4FINANCE","2022-08-30 09:39:04.157000000",""
"51600000","Consumption - Trading Goods","S4FINANCE","2022-08-30 09:39:04.157000000",""
"51950000","Consumption - Subcontracting","S4FINANCE","2022-08-30 09:39:04.157000000",""
"52021000","Loss Consumption for Quality Control (Raw & Trade)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"52023000","Loss Consumption for Quality Control (SF&Fin Gds)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"52051000","Loss Consumption of Consign. Mat (Raw & Trade)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"52053000","Loss Consumption of Consign. Mat (SF & F.Goods)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"52072000","Price Difference QTYV","S4FINANCE","2022-08-30 09:39:04.157000000",""
"52074000","Price Difference INPV","S4FINANCE","2022-08-30 09:39:04.157000000",""
"61022020","Payroll - Disability Pay (AU)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"61022030","Long Service Leave","S4FINANCE","2022-08-30 09:39:04.157000000",""
"61022040","Workers' compensation assoc. contributions (AU,BR)","S4FINANCE","2022-08-30 09:39:04.157000000",""
"61022100","Payroll - Vacation Pay Wages","S4FINANCE","2022-08-30 09:39:04.157000000",""
"61051000","Payroll Expense - Downtime Wages","S4FINANCE","2022-08-30 09:39:04.157000000",""
"61052000","Payroll Expense - Downtime Salaries","S4FINANCE","2022-08-30 09:39:04.157000000",""
