"ID_PLANET_VEC","ID_EMISSION","ID_GAS_TYPE","ID_SCOPE","ID_WATER_SOURCE","ID_STRESS_CATEGORY","ID_USE_TYPE","ID_BIODIV_CAT","ID_PROT_AREA_CAT","ID_LEGAL_REL","ID_ORIENTATION"
"EE2027258B22DFD3527F784784857752A071ADF43539C6F5E28DB65CFADE1DF9",,,,"SOURCE_03","STRESS_CAT_03","C",,,,
"398369EC795A91509498D85A9777A318493C82B0CF02F9EED79B0B01ADD9E152",,,,,,,"1","2","3","1"
"16F83196AA9C3FB3C67FC34E213DBC76B08CECA52916EB0181E0530B48EA47DD",,,,,,,"1","2","1","1"
"6D5A3B6D443C9E6FCF486AFB9BC2EF84976CEFAB56EF12FB687903DD9886E38A",,,,,,,"1","6","3","1"
"D41E08C41C6C76F7A3EE81A607CFB035B412D5727E632DE312D0A0ED47B36233",,,,"SOURCE_02","STRESS_CAT_02","W",,,,
"539F470D7D97D4020F8C76B96B1263689C5421A2FE8E9A0D50942B01B87E9944",,,,,,,"1","6","1","1"
"930FE49D9C77F16E74DC7E453496E47C77ED020F524FEF582D58AD1251F4BA1A",,,,,,,"1","1","3","2"
"5BE72943C29F1F932907FB06A067CE30B62E970884B3EA2FB70F5D00FCD97D33",,,,,,,"1","1","1","2"
"07376D44E650EE9752A9CD79D443C0CA67473DDD2631558BA643A95118526428",,,,,,,"1","5","3","2"
"1B164A4F0AD0AD9FBAA02FF4162D3A9397FAB46E5043ADA0734CBB350FCA25DA",,,,"SOURCE_04","STRESS_CAT_04","W",,,,
"C6FC6718B7451AC9A55AB95FF552AD2E7A9C1EB5D48E110D05EFAD7C9F5EF104",,,,"SOURCE_01","STRESS_CAT_03","W",,,,
"A5AA291D766BF65EF866B1CDBC4055B9ABEC21F79B3FE9A4118909CFB2B258A9",,,,,,,"1","5","2","1"
"189D55B9968AB5A28EB750261B57A64E128AA13804F8438B745232909DFFBBD5",,,,,,,"1","5","1","2"
"57D339BDFC1D0E46A3802B7E6C3316A301E4C8EBB64E42AD3F313EFDF06BF229","2","1","1",,,,,,,
"591FC699401517068B8791A70F88DB73D1A5A27E44B7D82DB3767BAA020C2BAD",,,,"SOURCE_01","STRESS_CAT_01","C",,,,
"125EB0E6A89AA0AC5F0A018DBDAE7ABF0940F30DA788F0E5ECDA911A9E89CC2C",,,,"SOURCE_04","STRESS_CAT_02","C",,,,
"A16749FF91869615771177BB4BF5AD57B0381BA6EA13B48FD00E4B7F2AE58D32",,,,"SOURCE_03","STRESS_CAT_05","W",,,,
"D34D4C706F99C71EEC7C153729C8D10CB6ED368765C52EAED69DA88DD60C81AB",,,,,,,"1","1","2","1"
"09CC3DFA1663D45ECDAA8D14CEBEC54A4C335B2E71C2676B2A7010B901F5062B",,,,,,,"2",,,"1"
"EA0EC896554B49279838073E9005ECA43962CAB64A0EDA07B31CF7210A811FF6",,,,"SOURCE_02","STRESS_CAT_03","W",,,,
"F8812428602A9D1B6B25686FB4A476843A3BF7D6D24F32811F8FF1A1B2251BB3",,,,,,,"1","4","1","2"
"5BA0A0912A01F5892CF4EDA76B0A4E030F846FB8D9B6135B757EE7DD54385495",,,,,,,"1","4","3","2"
"4EBECBC76A5BE351DF01C0E1DE7CADEFF1C02FB0504879CCCB3EE6715DDE2A8C",,,,"SOURCE_01","STRESS_CAT_04","C",,,,
"4751E1982F4234FDBADCFAB68B16CD273978EBC1016953EAAACE9C11A7829D6A",,,,,,,"1","4","2","1"
"2377F1C9C98A8343D1888E615B667201FC009B06814D870FF4A5C8689F7B53CF",,,,"SOURCE_03","STRESS_CAT_02","W",,,,
"03EBAE61C4A1A23C7C7FF1EA649E635BC0E791ED8CA56C852AEEA5B892DD367A",,,,"SOURCE_04","STRESS_CAT_05","W",,,,
"929C7BDB4E4A9CB296362E3D7B8F71DB11A79BF41BAC454F33A756D26C3B967A",,,,"SOURCE_02","STRESS_CAT_01","C",,,,
"22FDCC346A79AB8CA27122B306FF94DF0B8267C274CEE4253092AD1C1B9E5B35",,,,,,,"1","1","3","1"
"49FE5012B5545DAF2699DF8B89810F5C8383E4B0E954B775DE301103EE1CE9E7",,,,"SOURCE_04","STRESS_CAT_03","C",,,,
"4C7FF15DCA3A622600B30F0CE0B86EDA193A8E2BCFE8551FC18628CE885203C1",,,,,,,"2",,"3","2"
"6E637BFC51160D6401FAD6EFE17F8E899E24B9D1B48377DAA0482E1EA2545CFD",,,,,,,"1","2","2","2"
"6D3E78F7FDA290FA0ACE4381D5B99386752090F64CEAE6F0C014913FB2855571",,,,"SOURCE_03","STRESS_CAT_03","W",,,,
"519CA1A39CA99344FB675710557FD951509A69D3C9EB75301F144E327777087F",,,,,,,"2",,"2","1"
"F888327B13850B3724FDE86BBF18FEB01F5BF6466DCBB5E516DF4CE35369ACA3",,,,,,,"1","7","1","2"
